AOI,Species,Model,FMO,Period,Low_Score_AOI_Mean,Neutral_Score_AOI_Mean,High_Score_AOI_Mean,Low_Score_AOI_SD,Neutral_Score_AOI_SD,High_Score_AOI_SD
Angel Creek (HUC12: 190803060408),CHK,gfdl,nofmo,1,0.35,0.44,0.6,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,gfdl,nofmo,2,0.35,0.44,0.61,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,ccsm,altfmo,0,0.09,0.18,0.35,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),GRA,ccsm,altfmo,1,0.07,0.16,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,ccsm,altfmo,2,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,ccsm,fmo,0,0.09,0.18,0.35,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),GRA,ccsm,fmo,1,0.07,0.16,0.33,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,ccsm,fmo,2,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,ccsm,nofmo,0,0.09,0.18,0.35,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),GRA,ccsm,nofmo,1,0.07,0.16,0.33,0.06,0.08,0.06
Angel Creek (HUC12: 190803060408),GRA,ccsm,nofmo,2,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,gfdl,altfmo,0,0.09,0.18,0.35,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),GRA,gfdl,altfmo,1,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,gfdl,altfmo,2,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,gfdl,fmo,0,0.09,0.18,0.35,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),GRA,gfdl,fmo,1,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,gfdl,fmo,2,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,gfdl,nofmo,0,0.09,0.18,0.35,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),GRA,gfdl,nofmo,1,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),GRA,gfdl,nofmo,2,0.06,0.15,0.32,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,ccsm,altfmo,0,0.51,0.6,0.77,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),NONE,ccsm,altfmo,1,0.48,0.57,0.74,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,ccsm,altfmo,2,0.48,0.57,0.74,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,ccsm,fmo,0,0.51,0.6,0.77,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),NONE,ccsm,fmo,1,0.49,0.58,0.74,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,ccsm,fmo,2,0.48,0.57,0.74,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,ccsm,nofmo,0,0.51,0.6,0.77,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),NONE,ccsm,nofmo,1,0.49,0.58,0.75,0.06,0.08,0.06
Angel Creek (HUC12: 190803060408),NONE,ccsm,nofmo,2,0.48,0.57,0.74,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,gfdl,altfmo,0,0.51,0.6,0.77,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),NONE,gfdl,altfmo,1,0.48,0.56,0.73,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,gfdl,altfmo,2,0.48,0.57,0.74,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,gfdl,fmo,0,0.51,0.6,0.77,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),NONE,gfdl,fmo,1,0.48,0.57,0.73,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,gfdl,fmo,2,0.48,0.57,0.74,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,gfdl,nofmo,0,0.51,0.6,0.77,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),NONE,gfdl,nofmo,1,0.48,0.57,0.73,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),NONE,gfdl,nofmo,2,0.48,0.57,0.74,0.05,0.07,0.05
Beaver Creek (HUC12: 190803060505),CHK,ccsm,altfmo,0,0.32,0.43,0.58,0.14,0.14,0.14
Beaver Creek (HUC12: 190803060505),CHK,ccsm,altfmo,1,0.26,0.37,0.52,0.05,0.05,0.05
Beaver Creek (HUC12: 190803060505),CHK,ccsm,altfmo,2,0.26,0.37,0.52,0.05,0.05,0.05
Beaver Creek (HUC12: 190803060505),CHK,ccsm,fmo,0,0.32,0.43,0.58,0.14,0.14,0.14
Beaver Creek (HUC12: 190803060505),CHK,ccsm,fmo,1,0.27,0.38,0.52,0.05,0.05,0.05
Beaver Creek (HUC12: 190803060505),CHK,ccsm,fmo,2,0.26,0.37,0.52,0.05,0.05,0.05
Beaver Creek (HUC12: 190803060505),CHK,ccsm,nofmo,0,0.32,0.43,0.58,0.14,0.14,0.14
Beaver Creek (HUC12: 190803060505),CHK,ccsm,nofmo,1,0.26,0.37,0.52,0.05,0.05,0.05
